pws_id,pws_name,epa_region_code,primacy_agency,pws_type,owner_type,primary_source,activity_status,season_end_date,population,rule_name,violation_code,violation_type,violation_category,health_based,contaminant,season_start_date,last_reported,submission_quarter,return_to_compliance_date,contaminant_code,submission_year,major_violation,connections,first_reported,submission_year.1
NE3150456,SUTHERLAND SRA - NG & PC,Region 7,Nebraska,TNCWS,State,Ground water,Active,,25,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,45078,45107.0,Returned to Compliance,45146.0,SOX,State Compliance achieved,Y,,3,45155
NE3112301,"BROADWATER, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,160,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,45078,45107.0,Known,,SIE,State Public Notification requested,Y,,3,45155
NE3115909,SUNRISE COUNTRY MANOR,Region 7,Nebraska,CWS,State,Ground water,Active,,100,Revised Total Coliform Rule,1A,"Maximum Contaminant Level Violation, E. coli (RTCR)",MCL,Y,Revised Total Coliform Rule,45078,45107.0,Returned to Compliance,45106.0,SOX,State Compliance achieved,,,1,45155
NE3111107,EAST MALONEY HOMEOWNERS ASSN,Region 7,Nebraska,CWS,State,Ground water,Active,,50,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,45078,45107.0,Returned to Compliance,45139.0,SOX,State Compliance achieved,Y,,3,45155
NE3120767,PAPA MIKE'S,Region 7,Nebraska,TNCWS,State,Ground water,Active,,25,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,45078,45107.0,Known,,SIE,State Public Notification requested,Y,,3,45155
NE3120222,BLUE HERON LLC,Region 7,Nebraska,TNCWS,State,Ground water,Active,,65,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,45078,45107.0,Known,,SIE,State Public Notification requested,Y,,3,45155
NE3150459,LAKE MALONEY SRA - NG & PC (SEASONAL),Region 7,Nebraska,TNCWS,State,Ground water,Active,,25,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,45078,45107.0,Returned to Compliance,45146.0,SOX,State Compliance achieved,Y,,3,45155
NE3120875,CASEYS GENERAL STORE 2732 -GRAND ISLAND,Region 7,Nebraska,TNCWS,State,Ground water,Active,,25,Public Notice Rule and Revised PN Rule,75,Public Notification Violation for NPDWR Violation,Other,N,Public Notice,45071,,Returned to Compliance,45085.0,SOX,State Compliance achieved,,,3,45155
NE3120767,PAPA MIKE'S,Region 7,Nebraska,TNCWS,State,Ground water,Active,,25,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,45047,45077.0,Known,,SIE,State Public Notification requested,Y,,3,45155
NE3121502,FONNER VIEW GOLF,Region 7,Nebraska,TNCWS,State,Ground water,Active,,25,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,45047,45077.0,Returned to Compliance,45120.0,SOX,State Compliance achieved,Y,,3,45155
NE3121303,BLUE MOON RESORT,Region 7,Nebraska,TNCWS,State,Ground water,Active,,60,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,45047,45077.0,Known,,SIE,State Public Notification requested,Y,,3,45155
NE3120182,BUFFALO RIDGE GOLF COURSE,Region 7,Nebraska,TNCWS,State,Ground water,Active,,85,Revised Total Coliform Rule,2D,Treatment Technique Startup Procedures (RTCR),TT,Y,Revised Total Coliform Rule,45047,,Returned to Compliance,45197.0,SOX,State Compliance achieved,,,2,45155
NE3105507,METROPOLITAN UTILITIES DISTRICT,Region 7,Nebraska,CWS,State,Surface water,Active,,600000,Interim and Long Term 1 Enhanced Surface Water Treatment Rule,38,"Monitoring, Turbidity (Enhanced SWTR)",MR,N,Interim Enhanced Surface Water Treatment Rule,45017,45046.0,Known,,SIE,State Public Notification requested,N,,3,45155
NE3107301,NORTH POINT JOHNSON LAKE,Region 7,Nebraska,CWS,State,Ground water,Active,,25,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,45017,45046.0,Returned to Compliance,45083.0,SOX,State Compliance achieved,Y,,3,45155
NE3120233,CHESTERMAN CO,Region 7,Nebraska,NTNCWS,State,Ground water,Active,,38,Revised Total Coliform Rule,1A,"Maximum Contaminant Level Violation, E. coli (RTCR)",MCL,Y,Revised Total Coliform Rule,45017,45046.0,Returned to Compliance,45050.0,SOX,State Compliance achieved,,,1,45155
NE3120767,PAPA MIKE'S,Region 7,Nebraska,TNCWS,State,Ground water,Active,,25,Nitrate Rule,3,"Monitoring, Regular",MR,N,Nitrate-Nitrite,45017,45107.0,Known,,SIE,State Public Notification requested,Y,,3,45155
NE3121303,BLUE MOON RESORT,Region 7,Nebraska,TNCWS,State,Ground water,Active,,60,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,45017,45046.0,Known,,SIE,State Public Notification requested,Y,,3,45155
NE3120767,PAPA MIKE'S,Region 7,Nebraska,TNCWS,State,Ground water,Active,,25,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,45017,45046.0,Known,,SIE,State Public Notification requested,Y,,3,45155
NE3121476,SCHMID FARMS WATER DISTRIBUTION,Region 7,Nebraska,TNCWS,State,Ground water,Active,,25,Nitrate Rule,1,"Maximum Contaminant Level Violation, Single Sample",MCL,Y,Nitrate-Nitrite,45017,45107.0,Known,,SIF,State Public Notification received,,,1,45155
NE3121476,SCHMID FARMS WATER DISTRIBUTION,Region 7,Nebraska,TNCWS,State,Ground water,Active,,25,Nitrate Rule,1,"Maximum Contaminant Level Violation, Single Sample",MCL,Y,Nitrate-Nitrite,45017,45107.0,Known,,SIF,State Public Notification received,,,1,45155
NE3121208,CAMP MOSES MERRILL,Region 7,Nebraska,TNCWS,State,Ground water,Active,,100,Nitrate Rule,1,"Maximum Contaminant Level Violation, Single Sample",MCL,Y,Nitrate-Nitrite,45017,45107.0,Known,,SIF,State Public Notification received,,,1,45155
NE3121162,TRAVIS MERCHANTS OF VENICE,Region 7,Nebraska,TNCWS,State,Ground water,Active,,200,Nitrate Rule,3,"Monitoring, Regular",MR,N,Nitrate-Nitrite,45017,45107.0,Known,,SIF,State Public Notification received,Y,,3,45155
NE3120182,BUFFALO RIDGE GOLF COURSE,Region 7,Nebraska,TNCWS,State,Ground water,Active,,85,Nitrate Rule,1,"Maximum Contaminant Level Violation, Single Sample",MCL,Y,Nitrate-Nitrite,45017,45107.0,Returned to Compliance,45197.0,SOX,State Compliance achieved,,,1,45155
NE3120719,COUNTRY CORNER,Region 7,Nebraska,TNCWS,State,Ground water,Active,,25,Nitrate Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,Nitrate-Nitrite,45017,45107.0,Returned to Compliance,45155.0,SOX,State Compliance achieved,,,1,45155
NE3120372,"PROSSER, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,76,Nitrate Rule,1,"Maximum Contaminant Level Violation, Single Sample",MCL,Y,Nitrate-Nitrite,45017,45107.0,Known,,SIA,State Violation/Reminder Notice,,,1,45155
NE3114505,"LEBANON, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,58,Arsenic Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,Arsenic,45017,45107.0,Known,,SIE,State Public Notification requested,,,2,45155
NE3109502,"STEELE CITY, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,60,Nitrate Rule,1,"Maximum Contaminant Level Violation, Single Sample",MCL,Y,Nitrate-Nitrite,45017,45107.0,Known,,SIF,State Public Notification received,,,1,45155
NE3105101,"ALLEN, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,377,Nitrate Rule,1,"Maximum Contaminant Level Violation, Single Sample",MCL,Y,Nitrate-Nitrite,45017,45107.0,Known,,SIF,State Public Notification received,,,1,45155
NE3113902,"PLAINVIEW, CITY OF",Region 7,Nebraska,CWS,State,Ground water,Active,,1282,Nitrate Rule,1,"Maximum Contaminant Level Violation, Single Sample",MCL,Y,Nitrate-Nitrite,45017,45107.0,Known,,SIF,State Public Notification received,,,1,45155
NE3120372,"PROSSER, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,76,Nitrate Rule,1,"Maximum Contaminant Level Violation, Single Sample",MCL,Y,Nitrate-Nitrite,45017,45107.0,Known,,SIF,State Public Notification received,,,1,45155
NE3120372,"PROSSER, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,76,Nitrate Rule,1,"Maximum Contaminant Level Violation, Single Sample",MCL,Y,Nitrate-Nitrite,45017,45107.0,Known,,SIF,State Public Notification received,,,1,45155
NE3120372,"PROSSER, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,76,Nitrate Rule,1,"Maximum Contaminant Level Violation, Single Sample",MCL,Y,Nitrate-Nitrite,45017,45107.0,Known,,SIF,State Public Notification received,,,1,45155
NE3103903,"WISNER, CITY OF",Region 7,Nebraska,CWS,State,Ground water,Active,,1239,Nitrate Rule,1,"Maximum Contaminant Level Violation, Single Sample",MCL,Y,Nitrate-Nitrite,45017,45107.0,Known,,SIF,State Public Notification received,,,1,45155
NE3113110,"BURR, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,57,Nitrate Rule,1,"Maximum Contaminant Level Violation, Single Sample",MCL,Y,Nitrate-Nitrite,45017,45107.0,Known,,SIF,State Public Notification received,,,1,45155
NE3103901,"BANCROFT, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,490,Nitrate Rule,1,"Maximum Contaminant Level Violation, Single Sample",MCL,Y,Nitrate-Nitrite,45017,45107.0,Known,,SIF,State Public Notification received,,,1,45155
NE3114106,COLLEGE VIEW PARK,Region 7,Nebraska,CWS,State,Ground water,Active,,150,Arsenic Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,Arsenic,45017,45107.0,Known,,SIF,State Public Notification received,,,2,45155
NE3120840,EAGLES NEST ESTATES,Region 7,Nebraska,CWS,State,Ground water,Active,,52,Radionuclides and Revised Rad Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,Combined Uranium,45017,45107.0,Known,,SIF,State Public Notification received,,,2,45155
NE3105108,"MARTINSBURG, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,94,Radionuclides and Revised Rad Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,Combined Uranium,45017,45107.0,Known,,SIF,State Public Notification received,,,2,45155
NE3108106,"PHILLIPS, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,385,Radionuclides and Revised Rad Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,Combined Uranium,45017,45107.0,Known,,SIF,State Public Notification received,,,2,45155
NE3108106,"PHILLIPS, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,385,Radionuclides and Revised Rad Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,Combined Uranium,45017,45107.0,Known,,SIF,State Public Notification received,,,2,45155
NE3102517,"GREENWOOD, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,568,Nitrate Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,Nitrate-Nitrite,45017,45107.0,Returned to Compliance,45051.0,SOX,State Compliance achieved,,,1,45155
NE3103904,"WEST POINT, CITY OF",Region 7,Nebraska,CWS,State,Ground water,Active,,3500,Stage 2 Disinfectants and Disinfection Byproducts Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,TTHM,45017,45107.0,Returned to Compliance,45198.0,SOX,State Compliance achieved,,,2,45155
NE3120193,EASTERN LEARNING CENTER,Region 7,Nebraska,NTNCWS,State,Ground water,Active,,50,Nitrate Rule,1,"Maximum Contaminant Level Violation, Single Sample",MCL,Y,Nitrate-Nitrite,45017,45107.0,Returned to Compliance,45040.0,SOX,State Compliance achieved,,,1,45155
NE3102307,"ULYSSES, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,176,Revised Total Coliform Rule,1A,"Maximum Contaminant Level Violation, E. coli (RTCR)",MCL,Y,Revised Total Coliform Rule,44986,45016.0,Returned to Compliance,45015.0,SOX,State Compliance achieved,,,1,45064
NE3120875,CASEYS GENERAL STORE 2732 -GRAND ISLAND,Region 7,Nebraska,TNCWS,State,Ground water,Active,,25,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,44986,45016.0,Returned to Compliance,45085.0,SOX,State Compliance achieved,Y,,3,45064
NE3120767,PAPA MIKE'S,Region 7,Nebraska,TNCWS,State,Ground water,Active,,25,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,44958,44985.0,Returned to Compliance,45016.0,SOX,State Compliance achieved,Y,,3,45064
NE3117905,"BLAIR, CITY OF",Region 7,Nebraska,CWS,State,Surface water,Active,,8000,Interim and Long Term 1 Enhanced Surface Water Treatment Rule,44,Monthly Turbidity Exceed (Enhanced SWTR),TT,Y,Interim Enhanced Surface Water Treatment Rule,44958,44985.0,Returned to Compliance,45013.0,SOX,State Compliance achieved,,,1,45064
NE3105305,"NORTH BEND, CITY OF",Region 7,Nebraska,CWS,State,Ground water,Active,,1279,Stage 2 Disinfectants and Disinfection Byproducts Rule,27,Monitoring and Reporting (DBP),MR,N,Total Haloacetic Acids (HAA5),44927,45291.0,Known,,,,Y,2.0,3,45244
NE3105508,DOUGLAS CO SID 177 - RIVERSIDE LAKES,Region 7,Nebraska,CWS,State,Ground water,Active,,330,Nitrate Rule,3,"Monitoring, Regular",MR,N,Nitrate-Nitrite,44927,45016.0,Returned to Compliance,45099.0,SOX,State Compliance achieved,Y,,3,45068
NE3108503,"TRENTON, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,560,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,44927,,Open,,,,,,3,45244
